base_lr,lr,data_time,loss,decode.loss_ce,decode.loss_lovasz,decode.acc_seg,time,iter,memory,step
1.9613655770513682e-06,1.9613655770513682e-06,0.01823005676269531,3.2860328197479247,2.907844591140747,0.37818827033042907,7.071573734283447,0.4987774133682251,50.0,8530.0,50.0
3.962697798532355e-06,3.962697798532355e-06,0.017615437507629395,2.9769458055496214,2.602007746696472,0.37493808269500734,47.90253448486328,0.49649999141693113,100.0,7033.0,100.0
5.964030020013346e-06,5.964030020013346e-06,0.015925025939941405,2.489796590805054,2.1225263357162474,0.36727026104927063,69.37026977539062,0.4957552909851074,150.0,7000.0,150.0
7.965362241494336e-06,7.965362241494336e-06,0.01726870536804199,2.008232855796814,1.6602642059326171,0.34796867370605467,72.07245635986328,0.5097976684570312,200.0,7026.0,200.0
9.96669446297533e-06,9.96669446297533e-06,0.016569185256958007,1.652715802192688,1.3202414631843566,0.3324743300676346,71.13689422607422,0.5011208534240723,250.0,7028.0,250.0
1.1968026684456319e-05,1.1968026684456319e-05,0.016652798652648924,1.4170714020729065,1.09901904463768,0.318052339553833,69.54408264160156,0.5011878252029419,300.0,7026.0,300.0
1.3969358905937323e-05,1.3969358905937323e-05,0.01924891471862793,1.2840829372406006,0.9788293361663818,0.30525358617305753,80.96258544921875,0.5072812080383301,350.0,7069.0,350.0
1.597069112741831e-05,1.597069112741831e-05,0.018185901641845702,1.2894344329833984,0.9853105962276458,0.3041238307952881,75.47639465332031,0.512113356590271,400.0,7030.0,400.0
1.797202334889931e-05,1.797202334889931e-05,0.018619346618652343,1.1656750679016112,0.8680286228656768,0.2976464480161667,85.53897857666016,0.5162022352218628,450.0,7031.0,450.0
1.9973355570380306e-05,1.9973355570380306e-05,0.017814064025878908,1.1544266104698182,0.862817469239235,0.2916091471910477,83.1186752319336,0.50255286693573,500.0,7021.0,500.0
2.1974687791861306e-05,2.1974687791861306e-05,0.015634560585021974,1.0792820155620575,0.801180699467659,0.2781013160943985,85.21392822265625,0.49957220554351806,550.0,7065.0,550.0
2.3976020013342307e-05,2.3976020013342307e-05,0.018445158004760744,0.9424205541610717,0.6730070233345031,0.2694135278463364,85.47749328613281,0.5049254894256592,600.0,7032.0,600.0
2.597735223482329e-05,2.597735223482329e-05,0.01800856590270996,0.942574965953827,0.6829513996839524,0.2596235752105713,74.18639373779297,0.5004207134246826,650.0,7040.0,650.0
2.797868445630428e-05,2.797868445630428e-05,0.015045237541198731,0.9152545690536499,0.6508410632610321,0.26441349685192106,82.30683135986328,0.4931826114654541,700.0,7034.0,700.0
2.99800166777853e-05,2.99800166777853e-05,0.01758701801300049,0.9703992784023285,0.7123838365077972,0.25801544934511184,82.43245697021484,0.4987024784088135,750.0,7035.0,750.0
3.1981348899266314e-05,3.1981348899266314e-05,0.017025113105773926,1.0557059526443482,0.7987318456172943,0.2569740921258926,81.26322937011719,0.49699304103851316,800.0,7072.0,800.0
3.398268112074729e-05,3.398268112074729e-05,0.01619548797607422,0.677783340215683,0.45088307857513427,0.22690026611089706,85.6065902709961,0.4957139253616333,850.0,7038.0,850.0
3.5984013342228235e-05,3.5984013342228235e-05,0.018639278411865235,0.7445685982704162,0.5087882906198502,0.23578030616044998,86.96599578857422,0.5101629018783569,900.0,7024.0,900.0
3.7985345563709256e-05,3.7985345563709256e-05,0.01740269660949707,0.7883187264204026,0.5566408604383468,0.231677870452404,87.54544830322266,0.5026524066925049,950.0,7018.0,950.0
3.998667778519025e-05,3.998667778519025e-05,0.016387176513671876,0.7392264664173126,0.5191982597112655,0.22002820968627929,90.89905548095703,0.49853556156158446,1000.0,7028.0,1000.0
4.198801000667124e-05,4.198801000667124e-05,0.016769886016845703,0.6566705584526062,0.43632699847221373,0.22034356296062468,87.24826049804688,0.5084220170974731,1050.0,7033.0,1050.0
4.398934222815225e-05,4.398934222815225e-05,0.015740275382995605,0.6787981748580932,0.4443520724773407,0.23444610685110093,87.68253326416016,0.5117827415466308,1100.0,7040.0,1100.0
4.599067444963324e-05,4.599067444963324e-05,0.015050601959228516,0.6817320048809051,0.47101058810949326,0.21072141453623772,82.16915893554688,0.4917473316192627,1150.0,7036.0,1150.0
4.7992006671114227e-05,4.7992006671114227e-05,0.015955066680908202,0.6589489668607712,0.44108694046735764,0.2178620234131813,89.30707550048828,0.5023431777954102,1200.0,7035.0,1200.0
4.999333889259521e-05,4.999333889259521e-05,0.014808917045593261,0.6623771488666534,0.4432203620672226,0.21915678679943085,76.71784210205078,0.4931482315063477,1250.0,7028.0,1250.0
5.199467111407618e-05,5.199467111407618e-05,0.01458740234375,0.7188888251781463,0.5029441595077515,0.2159446656703949,86.48796081542969,0.4899430751800537,1300.0,7015.0,1300.0
5.399600333555716e-05,5.399600333555716e-05,0.015534687042236327,0.5869848936796188,0.38794986009597776,0.19903502762317657,83.22064971923828,0.4862276792526245,1350.0,7050.0,1350.0
5.599733555703817e-05,5.599733555703817e-05,0.014929366111755372,0.6182419389486313,0.40722687244415284,0.21101507991552354,87.19964599609375,0.4965125799179077,1400.0,7022.0,1400.0
5.799866777851912e-05,5.799866777851912e-05,0.014247751235961914,0.6928631603717804,0.4753648847341537,0.21749826967716218,86.15666198730469,0.492955756187439,1450.0,7040.0,1450.0
6.000000000000008e-05,6.000000000000008e-05,0.016104888916015626,0.6954928755760192,0.4720937073230743,0.22339916378259658,86.97248840332031,0.4969422101974487,1500.0,7044.0,1500.0
5.996254729359621e-05,5.996254729359621e-05,0.015871739387512206,0.61551274061203,0.3991167575120926,0.21639598160982132,90.111083984375,0.500799298286438,1550.0,7009.0,1550.0
5.992433024624527e-05,5.992433024624527e-05,0.014086437225341798,0.6862729251384735,0.47609569132328033,0.2101772353053093,87.44602966308594,0.49149045944213865,1600.0,7000.0,1600.0
5.9886113198894345e-05,5.9886113198894345e-05,0.01606740951538086,0.5930536568164826,0.3742465108633041,0.21880714297294618,91.61151123046875,0.4989046335220337,1650.0,7031.0,1650.0
5.9847896151543406e-05,5.9847896151543406e-05,0.01624894142150879,0.5442100673913955,0.34702628701925275,0.1971837803721428,88.70191955566406,0.4969771862030029,1700.0,7035.0,1700.0
5.9809679104192507e-05,5.9809679104192507e-05,0.01717536449432373,0.7679512560367584,0.5507478803396225,0.21720337867736816,81.52066040039062,0.5068529129028321,1750.0,7054.0,1750.0
5.977146205684161e-05,5.977146205684161e-05,0.01958327293395996,0.5365081131458282,0.3358184337615967,0.20068967938423157,90.88461303710938,0.5009592533111572,1800.0,7032.0,1800.0
5.9733245009490675e-05,5.9733245009490675e-05,0.016535186767578126,0.5739987075328827,0.37975216209888457,0.19424654990434648,88.98163604736328,0.49398767948150635,1850.0,7098.0,1850.0
5.9695027962139735e-05,5.9695027962139735e-05,0.01760101318359375,0.6243605136871337,0.4229803442955017,0.20138016790151597,84.48603820800781,0.49606800079345703,1900.0,6989.0,1900.0
5.965681091478883e-05,5.965681091478883e-05,0.018878698348999023,0.6669607162475586,0.4719141602516174,0.1950465500354767,91.95958709716797,0.5087353467941285,1950.0,6996.0,1950.0
